id,crime_type,complaint_text,severity,language,source,clean_text
1257, Phishing , An email pretended to be from customer support and asked for verification. , High , English , Synthetic,email pretended customer support asked verification
1258, Phishing , Someone sent me a fake security warning through SMS. , Medium , English , Synthetic,someone sent fake security warning sms
1259, Phishing , A suspicious message claimed my subscription expired. , Low , English , Synthetic,suspicious message claimed subscription expired
1260, Phishing , I received a phishing email asking me to validate my identity. , High , English , Synthetic,received phishing email asking validate identity
1261, Online Fraud , I paid for an online gadget but never received delivery. , High , English , Synthetic,paid online gadget never received delivery
1262, Online Fraud , Someone collected money for fake insurance services. , High , English , Synthetic,someone collected money fake insurance services
1263, Online Fraud , I was tricked into sending money for an online scheme. , High , English , Synthetic,tricked sending money online scheme
1264, Online Fraud , A fake seller collected payment and blocked me. , High , English , Synthetic,fake seller collected payment blocked
1265, Online Fraud , I paid booking charges for accommodation that does not exist. , Medium , English , Synthetic,paid booking charges accommodation exist
1266, Online Fraud , Someone impersonated a service provider and took money. , High , English , Synthetic,someone impersonated service provider took money
1267, Online Fraud , I transferred funds for online coaching that was fake. , Medium , English , Synthetic,transferred funds online coaching fake
1268, Online Fraud , I lost money after responding to a fake job advertisement. , High , English , Synthetic,lost money responding fake job advertisement
1269, Online Fraud , A fraudulent website collected payment for subscriptions. , Medium , English , Synthetic,fraudulent website collected payment subscriptions
1270, Online Fraud , I paid advance fees for services that were never provided. , High , English , Synthetic,paid advance fees services never provided
1271, Cyberbullying , Someone keeps sending hateful messages on social media. , High , English , Synthetic,someone keeps sending hateful messages social media
1272, Cyberbullying , I am being targeted with abusive replies online. , Medium , English , Synthetic,targeted abusive replies online
1273, Cyberbullying , A user keeps harassing me in online discussions. , Medium , English , Synthetic,user keeps harassing online discussions
1274, Cyberbullying , I received threatening messages from anonymous accounts. , High , English , Synthetic,received threatening messages anonymous accounts
1275, Cyberbullying , Someone keeps trolling me publicly. , Medium , English , Synthetic,someone keeps trolling publicly
1276, Cyberbullying , I am facing repeated online intimidation. , High , English , Synthetic,facing repeated online intimidation
1277, Cyberbullying , I received abusive comments on my profile. , Medium , English , Synthetic,received abusive comments profile
1278, Cyberbullying , Someone keeps messaging me offensive content. , Medium , English , Synthetic,someone keeps messaging offensive content
1279, Cyberbullying , Multiple users are bullying me online. , High , English , Synthetic,multiple users bullying online
1280, Cyberbullying , I am being harassed through fake accounts. , High , English , Synthetic,harassed fake accounts
1281, Malware , My system slowed down after opening a suspicious link. , Medium , English , Synthetic,system slowed opening suspicious link
1282, Malware , A fake update installed harmful software on my laptop. , High , English , Synthetic,fake update installed harmful software laptop
1283, Malware , Unknown programs appeared after installing free apps. , Medium , English , Synthetic,unknown programs appeared installing free apps
1284, Malware , My phone was infected after clicking a suspicious ad. , High , English , Synthetic,phone infected clicking suspicious ad
1285, Malware , A malicious file corrupted my system. , High , English , Synthetic,malicious file corrupted system
1286, Malware , I opened an attachment and my computer crashed. , High , English , Synthetic,opened attachment computer crashed
1287, Malware , My browser redirected automatically after clicking a link. , Medium , English , Synthetic,browser redirected automatically clicking link
1288, Malware , A website downloaded malware without permission. , High , English , Synthetic,website downloaded malware without permission
1289, Malware , My device started showing malware alerts. , High , English , Synthetic,device started showing malware alerts
1290, Malware , I installed software that infected my laptop. , Medium , English , Synthetic,installed software infected laptop
1291, Other Cybercrime , Someone accessed my online account without authorization. , High , English , Synthetic,someone accessed online account without authorization
1292, Other Cybercrime , I noticed suspicious login activity on my profile. , Medium , English , Synthetic,noticed suspicious login activity profile
1293, Other Cybercrime , My digital account was compromised. , High , English , Synthetic,digital account compromised
1294, Other Cybercrime , Someone attempted to reset my password. , Medium , English , Synthetic,someone attempted reset password
1295, Other Cybercrime , My personal information was changed online. , Medium , English , Synthetic,personal information changed online
1296, Other Cybercrime , I received alerts about unknown device logins. , Medium , English , Synthetic,received alerts unknown device logins
1297, Other Cybercrime , Someone impersonated me on a website. , Medium , English , Synthetic,someone impersonated website
1298, Other Cybercrime , My cloud account was accessed by an unknown user. , High , English , Synthetic,cloud account accessed unknown user
1299, Other Cybercrime , I was locked out due to unauthorized changes. , High , English , Synthetic,locked due unauthorized changes
1300, Other Cybercrime , My online identity was misused. , High , English , Synthetic,online identity misused
